epoch,loss,psnr,ssim,val_loss,val_psnr,val_ssim
0,0.00085817148628465839,30.313277907772122,0.28991235846068097,0.0010344614091832346,30.167715169093739,0.24129889290971854
1,0.00085322770511946967,30.333687659334579,0.28990579360301844,0.0010350169647810918,30.200521923971184,0.24162393106639304
2,0.00085229069375277974,30.336780357059897,0.28991023216639811,0.0010293713875922511,30.194683889683247,0.24128716214520299
3,0.0008522330019644479,30.339158280141532,0.28990554933180351,0.0010571885620926081,30.103484004788118,0.24184285767160485
4,0.00085043013863939684,30.347689650924313,0.28989641506524477,0.0010398843233986996,30.154564891430081,0.24171375775297799
5,0.00084959938701900119,30.348271192687978,0.28993016410415551,0.0010323004974950843,30.09448614307842,0.24164750490049935
6,0.00084855576419798579,30.351345827841946,0.28992436261288063,0.0010268439358436159,30.220409790659385,0.24111966484716676
7,0.00084734453533926455,30.360472083707531,0.28990636191997915,0.0010366243835466344,30.161434203635576,0.2415671973023473
8,0.0008383227840443703,30.411014824062807,0.28994023875389185,0.0010260390820762658,30.227592313551668,0.24117030036389145
9,0.00083815405615392344,30.410024778738887,0.28995968026253993,0.0010247747758010313,30.230951951788779,0.24135854519125413
10,0.0008381361653568342,30.412801679974439,0.28992682401790798,0.0010262919432656437,30.228192162267941,0.24129110183425506
11,0.00083799490626507416,30.41095763171915,0.28994953209671531,0.0010242779778760992,30.234581235549115,0.24150610329216265
12,0.00083778007459213888,30.41101252037878,0.28991616775363072,0.001025309061565529,30.227849967376287,0.24138172677207426
13,0.00083758086958837254,30.412842467149307,0.28997213593535082,0.0010238629379267143,30.233186809730494,0.24126622596155273
14,0.00083748081079413565,30.414390532469085,0.28993710026279929,0.001025449565416222,30.236537072612627,0.24148774923250568
15,0.00083619148012338508,30.421780487777198,0.28996582784195529,0.0010240600630333019,30.232084384852172,0.24147814341821319
16,0.00083614842964075276,30.420153209217883,0.28994286427298543,0.0010239237454128186,30.237095370735091,0.24131340724070974
17,0.00083613275007428541,30.421749903043846,0.28993465602082291,0.0010240027358920502,30.233877386431871,0.24138826875284566
18,0.00083612794888141798,30.420571254839306,0.28993895028703504,0.0010239715225348947,30.232964515129524,0.24138407559623007
19,0.00083607851748570541,30.421538409671044,0.28995644950837329,0.0010243686741638978,30.233795596755122,0.24138823428684533
20,0.00083604316517538494,30.422864432187211,0.28994726545576183,0.0010242870281200636,30.235734250243596,0.24133525752842694
21,0.00083603128182859799,30.421642001041537,0.28993233030857074,0.0010244439372468933,30.238717816539648,0.24136555750496169
22,0.00083586220796193981,30.42213887139982,0.28994238644707571,0.0010239280247118811,30.236904600255105,0.24136954216705736
23,0.00083585182199769981,30.421139480286087,0.28996396897048721,0.0010240508375775981,30.236406679492916,0.24140987528295652
24,0.00083584616632084892,30.422025478993859,0.28996033325527587,0.0010241398815309458,30.234303413395565,0.24139674560055846
